input,session_id,timestamp,x,y,z
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641722333961,-0.044135015,-0.0050396384,-0.006414085
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641742333961,-0.05207626,0.0053450707,-0.014966198
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641762333961,-0.06734789,0.02367103,-0.023518313
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641782333961,-0.11133019,0.05787948,-0.03145956
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641802333961,-0.24205536,0.04444045,-0.086437434
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641822333961,-0.45769078,-0.0936151,-0.19639318
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641842333961,-0.73807794,-0.21395555,-0.3203988
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641862333961,-0.9127854,-0.26526824,-0.4260785
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641882333961,-0.90301156,-0.22128594,-0.47555858
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641902333961,-0.85047716,-0.10522154,-0.40591997
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641922333961,-0.783282,0.03283401,-0.30451632
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641942333961,-0.6977608,0.095753126,-0.2312125
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641962333961,-0.5890268,0.06887506,-0.2049453
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641982333961,-0.44180828,0.057268616,-0.20922135
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642002333961,-0.34040466,-0.004428773,-0.2556471
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642022333961,-0.33551773,-0.0795652,-0.31245756
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642042333961,-0.38683042,-0.065515295,-0.30268374
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642062333961,-0.42287147,-0.019089539,-0.23793201
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642082333961,-0.3996586,-0.009315695,-0.18661933
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642102333961,-0.3397938,-0.016646078,-0.1554652
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642122333961,-0.29764408,-0.0050396384,-0.12614368
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642142333961,-0.27259862,0.03894266,-0.10048734
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536642162333961,-0.23167065,0.040775254,-0.076052725
